Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Apodemus_agrarius	74.6666666666667	145	0.3	5	1	0.769230769230769	0.230769230769231
Arctocephalus_forsteri	56.4222222222222	282	0.281524926686217	7	4	0.775	0.225
Balaenoptera_physalus	55.4	277	0.297058823529412	17	4	0.769230769230769	0.230769230769231
Bison_bonasus	32	32	0.166666666666667	35	1	0.857142857142857	0.142857142857143
Bison_priscus	78.5	0	0	8.5	0	1	0
Bos_grunniens	21.3333333333333	42	0.333333333333333	5	2	0.75	0.25
Bos_taurus	37	23	0.25	3	1	0.8	0.2
Branchiostoma_floridae	31.2	85	0.142857142857143	20	3	0.875	0.125
Bubalus_bubalis	81	155	0.142857142857143	10	2	0.875	0.125
Buergeria_buergeri	48.7368421052632	870	0.253012048192771	72	19	0.798076923076923	0.201923076923077
Camelus_dromedarius	106.333333333333	143	0.2	8	1	0.833333333333333	0.166666666666667
Canis_lupus	51	21	0.142857142857143	4	1	0.875	0.125
Canis_lupus_familiaris	46	21	0.25	2	1	0.8	0.2
Capra_hircus	21	0	0	2	0	1	0
Capreolus_capreolus	58.4285714285714	419	0.18	14	7	0.842696629213483	0.157303370786517
Carassius_auratus	40.8818181818182	202	0.170731707317073	25	5	0.854166666666667	0.145833333333333
Carassius_auratus_auratus	46.75	251.5	0.25	22.5	6.5	0.8	0.2
Carassius_gibelio	45	227	0.193548387096774	30	5	0.837837837837838	0.162162162162162
Catopuma_temminckii	48.125	21	0.25	6	1	0.775	0.225
Cercopithecus_albogularis	57.1333333333333	1016	0.55	29	19	0.645161290322581	0.354838709677419
Chaenogobius_annularis	34.25	0	0	137	0	1	0
Chamaeleo_chamaeleon	64.0555555555556	824	0.468253968253968	34	13	0.679245283018868	0.320754716981132
Clupea_harengus	21	42	0.121323529411765	16	2	0.888888888888889	0.111111111111111
Cobitis_biwae	49.1842105263158	1531	0.163967481756497	208	33	0.858823529411765	0.141176470588235
Cobitis_striata	50.21875	878	0.182741116751269	111	17	0.84549356223176	0.15450643776824
Coregonus_lavaretus	33.6666666666667	0	0	11	0	1	0
Corvus_corax	34.1428571428571	225	0.114285714285714	66	6	0.897435897435897	0.102564102564103
Ctenopharyngodon_idella	58	154	1.28571428571429	1	3	0.428571428571429	0.571428571428571
Cyprinus_carpio	53.3333333333333	79	0.366666666666667	5	2	0.732142857142857	0.267857142857143
Ectopistes_migratorius	53	0	0	3	0	1	0
Elephas_maximus	45.75	160	0.3	8	3	0.769230769230769	0.230769230769231
