Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Balaenoptera_physalus	102.5	81	0.25	2	1	0.666666666666667	0.333333333333333
Bison_priscus	83	0	0	1	0	1	0
Bos_taurus	39.5	10.5	0.166666666666667	2	0.5	0.875	0.125
Brachyhypopomus_occidentalis	52	172	0.8	3	3	0.555555555555556	0.444444444444444
Branchiostoma_floridae	81.3333333333333	103	0.5	2	1	0.666666666666667	0.333333333333333
Canis_lupus	21.5	0	0	1	0	1	0
Capra_hircus	72.8571428571429	58	0.5	2	1	0.666666666666667	0.333333333333333
Carassius_auratus	64.75	46	0.2	1	1	0.714285714285714	0.285714285714286
Cercopithecus_albogularis	62	157	1	3	2	0.5	0.5
Colomesus_asellus	61	76	1	1	1	0.5	0.5
Diodon_holocanthus	49	40	1	1	1	0.5	0.5
Equus_caballus	43.25	58	0.5	2	1	0.666666666666667	0.333333333333333
Labeo_rohita	46	45	0.0384615384615385	2	1	0.928571428571429	0.0714285714285714
Leopardus_tigrinus	76	76	0.464285714285714	3	1	0.666666666666667	0.333333333333333
Lontra_longicaudis	59.5	79	1	1	1	0.5	0.5
Lutjanus_argentimaculatus	58	56	0	1	1	0.8	0.2
Macaca_fascicularis	77.5	155	0.428571428571429	5	2	0.7	0.3
Mammuthus_primigenius	29	0	0	1	0	1	0
Mammuthus_sp	NA	0	0	1	0	1	0
Mesoplodon_densirostris	22	22	0.125	1	1	0.888888888888889	0.111111111111111
Mogurnda_adspersa	52	74	0.666666666666667	2	1	0.585714285714286	0.414285714285714
Mulloidichthys_vanicolensis	80.5	0	0	1	0	1	0
Mus_musculus	81	98	1	2	1	0.5	0.5
Myodes_glareolus	70.2	162	0.75	3	2	0.5	0.5
Nannoperca_australis	94.5	81	0.183333333333333	2	1	0.833333333333333	0.166666666666667
Neolissochilus_hexagonolepis	42.5	92	0.3	6	2	0.75	0.25
Orcinus_orca	83	83	0.142857142857143	2	1	0.857142857142857	0.142857142857143
Oryzias_latipes	38	82	0.277777777777778	10	2	0.782608695652174	0.217391304347826
Ovis_aries	57.1666666666667	0	0	3	0	1	0
Picoides_pubescens	65	65	1	1	1	0.5	0.5
Plecotus_macrobullaris	54.4285714285714	307	1.2	4	5	0.416666666666667	0.583333333333333
Plethodon_cinereus	52	46	1	1	1	0.5	0.5
Prionailurus_bengalensis	81	0	0	11.5	0	1	0
Rastrelliger_kanagurta	33	45	1	1	1	0.5	0.5
Scomberomorus_semifasciatus	58.925	56	0.333333333333333	1	1	0.677083333333333	0.322916666666667
Stenella_attenuata	94	0	0	2	0	1	0
Sus_scrofa	81	102	1	1	1	0.5	0.5
Tor_putitora	62.6666666666667	103	1	1	2	0.333333333333333	0.666666666666667
Urosaurus_nigricaudus	65.2738095238095	407	0.875	7	6	0.533333333333333	0.466666666666667
Ursus_arctos	21	21	0.5	2	1	0.666666666666667	0.333333333333333
Ursus_spelaeus	58	58	0.2	5	1	0.714285714285714	0.285714285714286
Xerotyphlops_vermicularis	66.1666666666667	324	1	5	5	0.5	0.5
