"Gene" "Species" "DnDs"
"1" "CytB" "Abbottina_obtusirostris" 0.00529860665350905
"2" "CytB" "Abbottina_rivularis" 0.0396572212508943
"3" "CytB" "Abrothrix_longipilis" 0.0369658889223402
"4" "CytB" "Abrothrix_olivaceus" 0.033195560360131
"5" "CytB" "Acanthocybium_solandri" 0.0155428371384391
"6" "CytB" "Acanthogobius_hasta" 0.00740813993411103
"7" "CytB" "Acanthopagrus_berda" 0.0240391471829245
"8" "CytB" "Acanthopagrus_latus" 0.0230608134593857
"9" "CytB" "Acanthopagrus_schlegelii" 0.0221496193247701
"10" "CytB" "Acanthorhodeus_chankaensis" 0.00632844939792226
"11" "CytB" "Acanthosaura_lepidogaster" 0.136231645948444
"12" "CytB" "Acheilognathus_barbatus" 0.00776121139653028
"13" "CytB" "Acheilognathus_cyanostigma" 0.0133890140364352
"14" "CytB" "Acheilognathus_macropterus" 0.0131853792282686
"15" "CytB" "Acheilognathus_rhombeus" 0.010653029779664
"16" "CytB" "Acheilognathus_signifer" 0.0145280508642303
"17" "CytB" "Acheilognathus_somjinensis" 0.0134353514269678
"18" "CytB" "Acheilognathus_typus" 0.00972682262905629
"19" "CytB" "Acheilognathus_yamatsutae" 0.00468922520568203
"20" "CytB" "Acipenser_gueldenstaedtii" 0.0295839712281485
"21" "CytB" "Acipenser_schrenckii" 0.00577444211041012
"22" "CytB" "Acipenser_stellatus" 0.0246407225917813
"23" "CytB" "Acomys_cahirinus" 0.0332329938484076
"24" "CytB" "Acomys_dimidiatus" 0.0409593487763224
"25" "CytB" "Acomys_minous" 0.0519549229217513
"26" "CytB" "Acritillas_indica" 0.0443118387579179
"27" "CytB" "Acrocephalus_brevipennis" 0.0545960565525156
"28" "CytB" "Acrocephalus_orientalis" 0.0572180794830559
"29" "CytB" "Acrossocheilus_beijiangensis" 0.0344021320805539
"30" "CytB" "Acrossocheilus_parallens" 0.030112327054288
"31" "CytB" "Acrossocheilus_yunnanensis" 0.0211177395613834
"32" "CytB" "Adelomyia_melanogenys" 0.022601976021794
"33" "CytB" "Aegithalos_caudatus" 0.0253070809716009
"34" "CytB" "Aegithalos_concinnus" 0.0298224084558676
"35" "CytB" "Aerodramus_fuciphagus" 0.0424375338431885
"36" "CytB" "Aerodramus_maximus" 0.0509426788409753
"37" "CytB" "Agelaius_phoeniceus" 0.0160975622307589
"38" "CytB" "Agkistrodon_contortrix" 0.0730640772873383
"39" "CytB" "Agkistrodon_piscivorus" 0.0778282806170421
"40" "CytB" "Agonostomus_monticola" 0.0383609033220062
"41" "CytB" "Ailuropoda_melanoleuca" 0.0502840279462792
"42" "CytB" "Akodon_montensis" 0.0549190402488672
"43" "CytB" "Akodon_spegazzinii" 0.0402275701325086
"44" "CytB" "Alburnus_alburnus" 0.0157687996099888
"45" "CytB" "Alcelaphus_buselaphus" 0.0398319435048523
"46" "CytB" "Alces_alces" 0.0289817428983137
"47" "CytB" "Alectoris_chukar" 0.0606932968442003
"48" "CytB" "Alectoris_rufa" 0.0399876259297671
"49" "CytB" "Alethe_poliocephala" 0.0471019510048979
"50" "CytB" "Algansea_tincella" 0.00685874088659819
"51" "CytB" "Alligator_mississippiensis" 0.122052841946588
"52" "CytB" "Alosa_fallax" 0.0304073006329623
"53" "CytB" "Alouatta_belzebul" 0.108094755624967
"54" "CytB" "Alouatta_caraya" 0.115724528727984
"55" "CytB" "Alouatta_guariba" 0.0883762447321593
"56" "CytB" "Alouatta_seniculus" 0.136850209630773
"57" "CytB" "Alticola_semicanus" 0.0733605312474643
"58" "CytB" "Amatitlania_nigrofasciata" 0.0304915850678132
"59" "CytB" "Amazona_farinosa" 0.0761473733415897
"60" "CytB" "Amazona_ochrocephala" 0.0776859663626885
"61" "CytB" "Ambloplites_ariommus" 0.0169195821792582
"62" "CytB" "Ambloplites_rupestris" 0.0149468601766492
"63" "CytB" "Amblyrhynchus_cristatus" 0.0598815032102046
"64" "CytB" "Ambystoma_barbouri" 0.0390020067730373
"65" "CytB" "Amolops_mantzorum" 0.0683703100115634
"66" "CytB" "Amphilophus_citrinellus" 0.024370967500684
"67" "CytB" "Amphiprion_akallopisos" 0.0143862687749729
"68" "CytB" "Amphiprion_clarkii" 0.0215260373184305
"69" "CytB" "Amphiprion_frenatus" 0
"70" "CytB" "Amphiprion_ocellaris" 0.021958952875581
"71" "CytB" "Amyda_cartilaginea" 0.0778469667104549
"72" "CytB" "Anabas_testudineus" 0.0345212587034463
"73" "CytB" "Anaecypris_hispanica" 0.0186944129596043
"74" "CytB" "Anarhichas_lupus" 0.0198915639833947
"75" "CytB" "Anas_platyrhynchos" 0.0147802899578853
"76" "CytB" "Andrias_davidianus" 0.0572857370855738
"77" "CytB" "Anguilla_anguilla" 0.00764528068607294
"78" "CytB" "Anguilla_australis_australis" 0.0144717939595821
"79" "CytB" "Anguilla_australis_schmidti" 0.144146579223167
"80" "CytB" "Anguilla_bicolor_bicolor" 0.0116239106330202
"81" "CytB" "Anguilla_bicolor_pacifica" 0.0193211321014467
"82" "CytB" "Anguilla_celebesensis" 0.0244103032365835
"83" "CytB" "Anguilla_japonica" 0.0134271480335223
"84" "CytB" "Anguilla_luzonensis" 0.0117790316403968
"85" "CytB" "Anguilla_malgumora" 0.012414362595361
"86" "CytB" "Anguilla_marmorata" 0.0154840933460861
"87" "CytB" "Anguilla_mossambica" 0.0126441806519582
"88" "CytB" "Anguilla_rostrata" 0.00321403787876901
"89" "CytB" "Anodorhynchus_hyacinthinus" 0.0528616295205612
"90" "CytB" "Anourosorex_squamipes" 0.0426776875984909
"91" "CytB" "Anourosorex_yamashinai" 0.0209488244578934
"92" "CytB" "Anser_cygnoides" 0.107822994917404
"93" "CytB" "Antidorcas_marsupialis" 0.0391540998531817
"94" "CytB" "Antilope_cervicapra" 0.045972170059265
"95" "CytB" "Aotus_azarai" 0.141565494225312
"96" "CytB" "Aotus_lemurinus" 0.065683424541651
"97" "CytB" "Aotus_nancymaae" 0.0438091420980087
"98" "CytB" "Aphanopus_carbo" 0.0882392025893512
"99" "CytB" "Apodemus_agrarius" 0.0418439625172642
"100" "CytB" "Apodemus_argenteus" 0.0168729612709769
"101" "CytB" "Apodemus_chejuensis" 0.0714101616125933
"102" "CytB" "Apodemus_chevrieri" 0.0391642838850869
"103" "CytB" "Apodemus_draco" 0.0312699614491071
"104" "CytB" "Apodemus_flavicollis" 0.0158095798831869
"105" "CytB" "Apodemus_ilex" 0.0136667406267312
