Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Anser_cygnoides	27.5	0	0	1	0	1	0
Apodemus_agrarius	46	21	0.142857142857143	3	1	0.875	0.125
Arctocephalus_forsteri	58	81	0.166666666666667	12	1	0.857142857142857	0.142857142857143
Balaenoptera_physalus	NA	0	0	5	0	1	0
Bison_bison	81	81	0	2	1	0.8	0.2
Bison_priscus	81	0	0	3	0	1	0
Bos_taurus	22	22	0.5	1	1	0.5	0.5
Branchiostoma_floridae	21	21	0.0666666666666667	11	1	0.9375	0.0625
Bubalus_bubalis	46	0	0	5	0	1	0
Canis_lupus	21	21	0.0769230769230769	6	1	0.928571428571429	0.0714285714285714
Canis_lupus_familiaris	58	0	0	2	0	1	0
Capra_hircus	72.5	145	0.5	4	2	0.645833333333333	0.354166666666667
Capreolus_capreolus	46	46	0.0357142857142857	26	1	0.96551724137931	0.0344827586206897
Carassius_auratus	21	21	0.03125	9	1	0.96969696969697	0.0303030303030303
Catopuma_temminckii	46	0	0	3	0	1	0
Cercopithecus_albogularis	58.2142857142857	412	0.366666666666667	16	7	0.731707317073171	0.268292682926829
Chaenogobius_annularis	NA	0	0	36	0	1	0
Chaetodipus_intermedius	38.5	100	0.230769230769231	10	3	0.8125	0.1875
Chamaeleo_chamaeleon	38.6	81	0.316666666666667	8	2	0.75	0.25
Clupea_harengus	21	21	0.142857142857143	5	1	0.875	0.125
Corvus_corax	NA	0	0	4.5	0	1	0
Cyprinus_carpio	21.5	0	0	4	0	1	0
Ectopistes_migratorius	78	58	0.5	1	1	0.5	0.5
Eopsaltria_australis	62.6666666666667	188	0.0555555555555556	52	2	0.947368421052632	0.0526315789473684
Epinephelus_lanceolatus	45.25	240	0.0684931506849315	73	5	0.935897435897436	0.0641025641025641
Equus_caballus	21	21	0.2	4	1	0.8	0.2
Gadus_morhua	40	0	0	2	0	1	0
Gallus_gallus	39.5	64	1	1	1	0.5	0.5
Gerrhonotus_infernalis	55.3333333333333	46	0.333333333333333	3	1	0.75	0.25
Lepus_californicus	28	28	0.111111111111111	6	1	0.9	0.1
Macaca_fascicularis	46.0833333333333	182	0.291666666666667	18	6	0.774193548387097	0.225806451612903
Mammuthus_primigenius	56	28	0.0416666666666667	10.5	0.5	0.961538461538462	0.0384615384615385
Mammuthus_sp	56	0	0	9.5	0	1	0
Martes_zibellina	155	155	0.154761904761905	5	1	0.857142857142857	0.142857142857143
Mesoplodon_densirostris	21	21	0.0909090909090909	8	1	0.916666666666667	0.0833333333333333
Muntiacus_sp	21	21	0.0384615384615385	24	1	0.962962962962963	0.037037037037037
Mus_musculus	58	46	0.0588235294117647	13	1	0.944444444444444	0.0555555555555556
Mus_musculus_musculus	46	46	0.225	4	1	0.8	0.2
Myodes_glareolus	51.5	105	0.12962962962963	12	2	0.885245901639344	0.114754098360656
Odocoileus_virginianus	56	81	0.09	8	2	0.909090909090909	0.0909090909090909
Orcinus_orca	41.3333333333333	0	0	2	0	1	0
Oryzias_latipes	39	258	0.102941176470588	69	6	0.906666666666667	0.0933333333333333
Ovis_aries	26.5	21	0.25	2	1	0.8	0.2
Pan_paniscus	54.5	58	0.2	4	1	0.833333333333333	0.166666666666667
Pan_troglodytes	58	58	0.0952380952380952	8	1	0.91304347826087	0.0869565217391304
Panthera_tigris	21	21	0.153846153846154	5	1	0.866666666666667	0.133333333333333
Peromyscus_maniculatus	37	111	0.142857142857143	22	3	0.875	0.125
Phoca_groenlandica	NA	0	0	3	0	1	0
Plecotus_macrobullaris	30.75	22	0.0769230769230769	12	1	0.928571428571429	0.0714285714285714
Prionailurus_bengalensis	39.5	21	0.0625	28	1	0.941176470588235	0.0588235294117647
Salamandrella_keyserlingii	68	136	0.5	3	2	0.666666666666667	0.333333333333333
Schismatogobius_ampluvinculus	60.6666666666667	0	0	6	0	1	0
Sphenodon_punctatus	74	74	0.1	6	1	0.909090909090909	0.0909090909090909
Stenella_attenuata	81	0	0	10	0	1	0
Stenella_longirostris	58	0	0	4	0	1	0
Sus_scrofa	61	102	0.366666666666667	4	2	0.714285714285714	0.285714285714286
Tamias_dorsalis	33.5	21	0.0476190476190476	13	1	0.954545454545455	0.0454545454545455
Tarentola_mauritanica	51.8636363636363	412	0.25	42	10	0.8	0.2
Thylacinus_cynocephalus	21.5	43	0.333333333333333	4	2	0.75	0.25
Tursiops_truncatus	21	21	0.133928571428571	5	1	0.875	0.125
Ursus_arctos	64	64	0.0769230769230769	11	1	0.928571428571429	0.0714285714285714
Ursus_spelaeus	58	58	0.154761904761905	5	1	0.857142857142857	0.142857142857143
Vulpes_lagopus	55.8333333333333	58	0.292857142857143	2	1	0.769230769230769	0.230769230769231
Ziphius_cavirostris	81	0	0	7	0	1	0
