Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Alouatta_seniculus	70.9166666666667	162	0.666666666666667	2	2	0.6	0.4
Anser_anser	56	81	0.666666666666667	2	2	0.585714285714286	0.414285714285714
Anser_cygnoides	32	54	1	1	2	0.4	0.6
Aotus_nancymaae	NA	0	0	4	0	1	0
Apodemus_agrarius	52	58	0.5	2	1	0.666666666666667	0.333333333333333
Arctocephalus_forsteri	148	0	0	14	0	1	0
Ateles_belzebuth	50.5	116	0.26969696969697	8.5	3	0.787593984962406	0.212406015037594
Automolus_rubiginosus	21.3333333333333	53.5	0.118055555555556	20	2.5	0.894444444444444	0.105555555555556
Balaenoptera_physalus	58	15	0.142857142857143	5	1	0.875	0.125
Bison_priscus	18	0	0	2.5	0	1	0
Bos_grunniens	21	42	0.194444444444444	7	1	0.818181818181818	0.181818181818182
Bos_taurus	22	0	0	2	0	1	0
Branchiostoma_belcheri	51	21	0.2	6	1	0.833333333333333	0.166666666666667
Branchiostoma_floridae	180	0	0	11	0	1	0
Canis_lupus	NA	0	0	2	0	1	0
Canis_lupus_familiaris	21	0	0	2	0	1	0
Capra_hircus	127.333333333333	0	0	3	0	1	0
Carassius_auratus	21	21	0.1	4	1	0.909090909090909	0.0909090909090909
Carassius_auratus_auratus	38.5	0	0	5	0	1	0
Cebus_capucinus	50	150	0.175925925925926	23	3	0.84375	0.15625
Cercopithecus_albogularis	67.1666666666667	58	0.1	9	1	0.909090909090909	0.0909090909090909
Chaenogobius_annularis	27.1666666666667	0	0	23	0	1	0
Chamaeleo_chamaeleon	66.8	209	0.285714285714286	14	3	0.777777777777778	0.222222222222222
Cheirogaleus_crossleyi	126	194	0.04	22	1	0.961538461538462	0.0384615384615385
Cheirogaleus_major	30	60	0.105263157894737	15	2	0.904761904761905	0.0952380952380952
Cheirogaleus_medius	51	137	0.0833333333333333	37	3	0.923076923076923	0.0769230769230769
Cinclodes_fuscus	21	21	0.117647058823529	9	1	0.894736842105263	0.105263157894737
Clupea_harengus	102.5	0	0	4	0	1	0
Corvus_corax	41	43	0.0909090909090909	9	1	0.909090909090909	0.0909090909090909
Crocidura_russula	33.5	21	0.0344827586206897	4	1	0.96638418079096	0.0336158192090395
Cynomys_ludovicianus	64.6666666666667	246	1	4	4	0.5	0.5
Cyprinus_carpio	117.75	135	0.191322251029434	5	1	0.838383838383838	0.161616161616162
Eospalax_baileyi	60.3333333333333	81	0.0615530303030303	25	1	0.941176470588235	0.0588235294117647
Equus_caballus	106.5	0	0	4	0	1	0
Falco_peregrinus	NA	0	0	1	0	1	0
Gorilla_gorilla	60	0	0	2	0	1	0
Gorilla_gorilla_gorilla	67	84	1	1	1	0.5	0.5
Lagothrix_lagotricha	21	10.5	0.0384615384615385	9	0.5	0.964285714285714	0.0357142857142857
Macaca_fascicularis	21	63	0.148550724637681	19	3	0.857142857142857	0.142857142857143
Mammuthus_primigenius	21	0	0	16	0	1	0
Mammuthus_sp	NA	0	0	4.5	0	1	0
Martes_zibellina	33.5	21	0.166666666666667	6	1	0.857142857142857	0.142857142857143
Mesoplodon_densirostris	63.5	0	0	5	0	1	0
Microcebus_murinus	160	0	0	8.5	0	1	0
Microcebus_myoxinus	143	81	0.111111111111111	4	1	0.9	0.1
Microcebus_rufus	31.3928571428571	48	0.166666666666667	4	1	0.857142857142857	0.142857142857143
Microcebus_simmonsi	22	0	0	3	0	1	0
Muntiacus_sp	NA	0	0	4	0	1	0
Mus_musculus	43	67	0.110105580693816	14	2	0.894736842105263	0.105263157894737
Myodes_glareolus	21	0	0	9	0	1	0
Myotis_lucifugus	21	42	0.0833333333333333	16.5	1	0.923076923076923	0.0769230769230769
Odocoileus_virginianus	51	0	0	13	0	1	0
Orcinus_orca	NA	0	0	2	0	1	0
Oryzias_latipes	28.7	147	0.1	61	5	0.909090909090909	0.0909090909090909
Ovis_aries	49	0	0	5	0	1	0
Pan_paniscus	58	58	0.333333333333333	2	1	0.75	0.25
Pan_troglodytes	22	22	0.125	4	1	0.888888888888889	0.111111111111111
Physeter_catodon	46	21	0.5	1	1	0.5	0.5
Plecotus_macrobullaris	24	24	0.2	8	1	0.833333333333333	0.166666666666667
Pongo_abelii	61	74	0.142857142857143	7	1	0.875	0.125
Prionailurus_bengalensis	33.6666666666667	21	0.0303030303030303	7.5	1	0.970142602495544	0.0298573975044563
Procyon_lotor	51	21	0.125	6	1	0.888888888888889	0.111111111111111
Protobothrops_flavoviridis	49.5	177	0.19047619047619	19	3	0.807692307692308	0.192307692307692
Saimiri_sciureus	58	27	0.118055555555556	8	1	0.888888888888889	0.111111111111111
Salamandrella_keyserlingii	21	23	0.4	4	1	0.714285714285714	0.285714285714286
Sphenodon_punctatus	18.5	0	0	7	0	1	0
Stenella_attenuata	58	0	0	5	0	1	0
Stenella_longirostris	NA	0	0	6	0	1	0
Sus_scrofa	21	0	0	3	0	1	0
Tamias_dorsalis	46	46	0.0690476190476191	8	1	0.935416666666667	0.0645833333333333
Tamias_sibiricus	21	21	0.0833333333333333	7	1	0.923076923076923	0.0769230769230769
Tarentola_mauritanica	43.4444444444444	343	0.228571428571429	33	6	0.813953488372093	0.186046511627907
Thylacinus_cynocephalus	NA	0	0	10.5	0	1	0
Tursiops_truncatus	41	56	0.2	9	1	0.833333333333333	0.166666666666667
Ursus_arctos	52	0	0	8	0	1	0
Ziphius_cavirostris	46	69	0.222222222222222	8	1	0.818181818181818	0.181818181818182
